original_address,lat,lon,formatted,housenumber,name,street,suburb,postcode,county,district,city,state,confidence_street_level,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Helleland/Bjerkreim",58.53333,6.08333,"Eigersund (Helleland), Rogaland",,,,,,,Eigersund,Helleland,Rogaland,,Norway,no,0.5,0.5,,,https://www.whosonfirst.org/docs/licenses/
"1281 Oslo",59.845277593,10.82835194,"1281 Oslo",,,,,1281,,Søndre Nordstrand,Oslo,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1322 Høvik",59.2415191,11.4806807,"Høvik (Høvik)",,Høvik,,,,Østfold,,Høvik,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1324 Lysaker",60.8694792,11.2197143,"Lysaker, Hamar",,Lysaker,,Lysaker,,Innlandet,,Hamar,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1400 Ski",59.72112302460457,10.85140775913884,"1400 Nordre Follo",,Nordre Follo,,,1400,Akershus,,Nordre Follo,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1430 Ås",59.65580869,10.787906972,"1430 Ås",,,,,1430,Akershus,,Ås,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1472 Fjellhamar",59.938560053,10.992152425,"1472 Lørenskog",,,,,1472,Akershus,,Lørenskog,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1487 Tøyenhagen",60.11648558218998,10.857469791292877,"1487 Nittedal",,Nittedal,,,1487,Akershus,,Nittedal,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1523 Moss",59.423826949,10.67774108,"1523 Moss",,,,,1523,Østfold,,Moss,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1550 Hølen",59.5399008,10.7423942,"1550 Hølen (Hølen)",,Hølen,,,1550,Akershus,,Hølen,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1560 Larkollen",59.330383,10.6702747,"1560 Larkollen (Larkollen)",,Larkollen,,,1560,Østfold,,Larkollen,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1600 Fredrikstad",59.2133614,10.9361604,"Fredrikstad",,,,,,Østfold,,Fredrikstad,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1640 Moss v/Spareland",,,,,,,,,,,,,,,,,,,,
"1700 Sarpsborg",59.254955,11.229781140849298,"Sarpsborg",,,,,,Østfold,,Sarpsborg,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1715 Yven",59.2797972,11.064825,"Yven, 1715 Sarpsborg",,Yven,,Yven,1715,Østfold,,Sarpsborg,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
