Helleland/Bjerkreim, Norway
1281 Oslo, Norway
1322 Høvik, Norway
1324 Lysaker, Norway
1400 Ski, Norway
1430 Ås, Norway
1472 Fjellhamar, Norway
1487 Tøyenhagen, Norway
1523 Moss, Norway
1550 Hølen, Norway
1560 Larkollen, Norway
1600 Fredrikstad, Norway
1640 Moss v/Spareland, Norway
1700 Sarpsborg, Norway
1715 Yven, Norway
1720 Greåker, Norway
1816 Skiptvet, Norway
1825 Tomter, Norway
1900 Fetsund, Norway
1911 Flateby, Norway
1928 Haga, Norway
1932 Finstadbru, Norway
1950 Rømskog, Norway
1954 Setskog, Norway
1960 Løken, Norway
1990 Skjetten, Norway
2 km. nord for Bodø., Norway
2000 Lillestrøm, Norway
2006 Løvenstad, Norway
2007 Kjeller, Norway
2008 Fjerdingby, Norway
2009 Nordby, Norway
2010 Strømmen, Norway
2020 Skedsmokorset, Norway
2022 Gjerdrum, Norway
2033 Åsgreina, Norway
2045 Leirsund, Norway
2060 Gardermoen, Norway
2070 Råholt, Norway
2073 Bøn, Norway
2080 Eidsvoll postkontor, Norway
2080 Eidsvoll, Norway
2092 Minnesund, Norway
2100 Skarnes, Norway
2110 Slåstad, Norway
2150 Årnes, Norway
2180 Haga, Norway
2182 Horten, Norway
2200 Kongsvinger, Norway
2224 Austmarka, Norway
2232 Tobøl, Stangnes, Norway
2260 Kirkenær, Norway
2270 Flisa, Norway
2300 Hamar, Norway
2350 Nes, Norway
2355 Gaupen, Norway
2380 Brumunddal, Norway
2390 Moelv, Norway
2414 Kjernmoen, Norway
2427 Plassen, Norway
2432 Slettås, Norway
2445 Femundsenden, Norway
2480 Koppang, Norway
2483 Rendalen, Norway
2500 Tynset, Norway
2544 Øversjødalen, Norway
2592 Kvikne, Norway
2600 Lillehammer, Norway
2616 Lismarka, Norway
2625 Olstad, Norway
2632 Venabygd, Norway
2634 Fåvang, Norway
2638 Fåberg, Norway
2640 Vinstra, Norway
2643 Skåbu, Norway
2645 Harpefoss, Norway
2647 Hundorp, Norway
2647 Hundtorp, Norway
2650 Kvam, Norway
2670 Otta, Norway
2679 Høvringen, Norway
2687 Bøverdalen, Norway
2700 Jevnaker, Norway
2730 Lunner, Norway
2750 Gran, Norway
2760 Brandbu, Norway
2770 Jaren, Norway
2800 Gjøvik, Norway
2814 Landåsbygda, Norway
2829 Ø. Snertingdal, Norway
2830 Raufoss, Norway
2834 Nygard, Norway
2843 Eina, Norway
2850 Lena, Norway
2858 Kapp, Norway
2864 Fall, Norway
3022 Drammen, Norway
3033 Drammen, Norway
3060 Svelvik, Norway
3070 Sande, Norway
3080 Holmestrand, Norway
3100 Tønsberg, Norway
3109 Lofts-Eik, Norway
3109 LoftsEik, Tønsberg, Norway
3110 Tønsberg, Norway
3120 Andebu, Høyjord, Norway
3140 Borgheim, Nøtterøy, Norway
3155 Åsgårdstrand, Norway
3174 Revetal, Norway
3182 Horten, Norway
3250 Larvik, Norway
3268 Larvik, Norway
3275 Svarstad, Norway
3290 Stavern, Norway
3371 Vikersund, Norway
3410 Sylling, Norway
3440 Røyken, Norway
3500 Hønefoss, Norway
3524 Nes i Ådal, Norway
3570 Ål, Norway
3600 Kongsberg, Norway
3660 Rjukan, Norway
3700 Skien, Norway
3716 Skien, Norway
3717 Skien, Norway
3718 Skien, Norway
3740 Lunde, Norway
3750 Drangedal, Norway
3864 Rjukan, Norway
3945 Eidanger, Norway
4007 Stavanger, Norway
4230 Sand, Norway
4280 Skudeneshavn, Norway
4300 Sandnes, Norway
4340 Bryne, Norway
4400 Flekkefjord, Norway
4432 Hidra, Norway
4440 Tonstad, Norway
4443 Tjørholm, Norway
4448 Gyland, Norway
4462 Hovsherad, Norway
4484 Øye, Leirvik, Norway
4500 Mandal, Norway
4600 Kristiansand, Norway
4640 Søgne, Norway
4660 Evje, Norway
4692 Rystad, Norway
4700 Vennesla, Norway
4800 Arendal, Norway
4860 Treungen i Nissedal, Norway
4883 Bjorbekk, Norway
4930 Vegårdshei, Norway
5000 Bergen, Nordnes, Norway
5000 Bergen, Norway
5030 Landås, Norway
5032 Minde, Bergen, Norway
5032 Minde, Norway
5033 Fyllingsdalen, Norway
5037 Solheimsvik, Norway
5042 Fjøsanger, Norway
5068 Flesland, Norway
5070 Bergen, Norway
5071 Loddefjord, Norway
5078 Haakonsvern, Norway
5084 Tertnes, Norway
5088 Mjølkeråen, Norway
5090 Nyborg, Norway
5170 Modalen, Norway
5280 Dalekvam, Norway
5400 Stord, Børtveit, Norway
5400 Stord, Haga, Norway
5400 Stord, Horneland, Norway
5400 Stord, Norway
5400 Stord, Samfunnshuset, Norway
5400 Stord, Skotteberg, Norway
5414 Rommetveit, Norway
5419 Fitjar, Norway
5450 Hamnvik, Norway
5462 Herøysund, Norway
5614 Ålvik, Norway
5640 Eikelandsosen, Norway
5685 Uggdalseidet, Norway
5700 Voss, Norway
5730 Ulvik i Hardanger, Norway
5750 Odda, Norway
5770 Tyssedal, Norway
5823 Marifjøra, Norway
5850 Balestrand, Norway
5960 Dalsøyra, Norway
6010 Ålesund, Norway
6142 Eidså, Norway
6170 Bjugn, Norway
6480 Batnfjordsøra, Norway
6500 Kristaiansund N., Norway
6500 Kristiansund N, Norway
6500 Kristiansund, Norway
6533, Norway
6570 Edøy, Norway
6600 Sunndalsøra, Norway
6631 Batnfjordsøra, Norway
6766 Kjølsdalen, Norway
6863 Rygg, Norway
6865 Breim, Norway
6965 Svanøybukt, Norway
7000 Trondheim, Norway
7030 Trondheim, Norway
7084 Melhus, Norway
7087 Gimse, Melhus, Norway
7094 Lundamo, Norway
7095 Lier, Norway
7125 Vanvikan, Norway
7200 Kyrksæterøra, Norway
7300 Orkanger, Norway
7340 Oppdal, Norway
7350 Buvika, Norway
7392 Stamman, Norway
7490 Rognes, Norway
7500 Rørvik, Norway
7500 Stjørdal, Norway
7525 Flornes, Norway
7530 Meråker, Norway
7562 Hundhamaren, Norway
7570 Hell, Norway
7600 Levanger, Norway
7620 Skogn, Norway
7650 Verdal, Norway
7660 Vuku, Norway
7670 Sakkshaug, Norway
7670 Sakshaug, Norway
7700 Steinkjer, Norway
7710 Sparbu, Norway
7820 Spillum Namsos, Norway
7830 Nord Statland, Norway
7850 Fosslandsosen, Norway
7863 Overhalla, Norway
7890 Namsskogan, Norway
7892 Lassemoen, Norway
7894 Limingen, Norway
7940 Ottersøy, Norway
8000 Bodø Lufthavn, Norway
8000 Bodø, Norway
8015 Hunstad, Norway
8065 Røstlandet, Norway
8066 Nordfold, Norway
8100 Misvær, Norway
8114 Tollå, Norway
8150 Ørnes, Norway
8180 Rødøy, Norway
8186 Tjongsfjorden, Norway
8196 Selsøyvik, Norway
8200 Fauske, Norway
8250 Rognan, Norway
8270 drag, Norway
8270 Drag, Norway
8275 Storjord, Norway
8276 Drag, Norway
8276 Ulvsvåg, Norway
8280 Kjøpsvik, Norway
8316 Laupstad, Norway
8333 Kleppstad, Norway
8357 Valberg, Norway
8372 Gravdal, Norway
8374 Fygle, Vestvågøy, Norway
8382 Napp, Norway
8387 Fredvang, Lofoten, Norway
8387 Fredvang, Norway
8450 Stokmarknes, Norway
8480 Andenes, Norway
8500 Alta, Norway
8500 Narvik, Norway
8501 Narvik, Norway
8530 Bjerkvik, Norway
8540 Ballangen, Norway
8543 Kjeldebotnen, Norway
8597 Steinklep, Norway
8600 Mo i Rana, Norway
8610 Grubhei, Norway
8616 Båsmoen, Norway
8650 Mosjøen, Norway
8723 Husby, Norway
8890 Leirfjord, Norway
8960 Hommelstø, Norway
8980 Gladstad, Norway
9022 Krokelvdalen, Norway
9050 Storsteinnes, Norway
9060 Lyngeidet, Norway
9060 Lyngseidet, Norway
9092 Sørstraumen, Norway
9170 Longyearbyen, Norway
9300 Finnsnes, Norway
9310 Sørreisa, Norway
9330 Rossfjordstraumen, Norway
9373 Botnhamn, Norway
9386 Senjahopen, Norway
9400 Harstad, Norway
9425 Sandsøy, Norway
9500 Alta, Norway
9510 Elvebakken, Norway
9520 Kautokeino, Camping, Norway
9520 Kautokeino, Norway
9540 Talvik, Norway
9593 Breivikbotn, Norway
9595 Sørvær, Norway
