original_address,lat,lon,formatted,housenumber,name,street,suburb,postcode,county,district,city,state,confidence_street_level,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Helleland/Bjerkreim, Norway",58.53333,6.08333,"Eigersund (Helleland), Rogaland, Norway",,,,,,,Eigersund,Helleland,Rogaland,,Norway,no,0.5,0.5,,,https://www.whosonfirst.org/docs/licenses/
"1281 Oslo, Norway",59.845277593,10.82835194,"1281 Oslo, Norway",,,,,1281,,Søndre Nordstrand,Oslo,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1322 Høvik, Norway",59.2415191,11.4806807,"Høvik (Høvik), Norway",,Høvik,,,,Østfold,,Høvik,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1324 Lysaker, Norway",60.8694792,11.2197143,"Lysaker, Hamar, Norway",,Lysaker,,Lysaker,,Innlandet,,Hamar,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1400 Ski, Norway",59.72112302460457,10.85140775913884,"1400 Nordre Follo, Norway",,Nordre Follo,,,1400,Akershus,,Nordre Follo,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1430 Ås, Norway",59.65580869,10.787906972,"1430 Ås, Norway",,,,,1430,Akershus,,Ås,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1472 Fjellhamar, Norway",59.938560053,10.992152425,"1472 Lørenskog, Norway",,,,,1472,Akershus,,Lørenskog,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1487 Tøyenhagen, Norway",60.11648558218998,10.857469791292877,"1487 Nittedal, Norway",,Nittedal,,,1487,Akershus,,Nittedal,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1523 Moss, Norway",59.423826949,10.67774108,"1523 Moss, Norway",,,,,1523,Østfold,,Moss,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1550 Hølen, Norway",59.5399008,10.7423942,"1550 Hølen (Hølen), Norway",,Hølen,,,1550,Akershus,,Hølen,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1560 Larkollen, Norway",59.330383,10.6702747,"1560 Larkollen (Larkollen), Norway",,Larkollen,,,1560,Østfold,,Larkollen,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1600 Fredrikstad, Norway",59.2133614,10.9361604,"Fredrikstad, Norway",,,,,,Østfold,,Fredrikstad,,,Norway,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1640 Moss v/Spareland, Norway",,,,,,,,,,,,,,,,,,,,
