original_address,lat,lon,formatted,district,street,name,suburb,state,postcode,city,county,country,confidence_street_level,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Ulstein, Norway",62.363780750000004,5.82863603435073,"Ulstein, Norway",,,,,,,Ulstein,Møre og Romsdal,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ulsteinvik, Norway",62.3426629,5.84686,"6065 Ulsteinvik, Norway",,,Ulsteinvik,,,6065,Ulsteinvik,Møre og Romsdal,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ulvsvåg, Norway",68.1155376,15.8656124,"8276 Ulsváhke - Ulvsvåg (Ulsváhke - Ulvsvåg), Norway",,,Ulsváhke - Ulvsvåg,,,8276,Ulsváhke - Ulvsvåg,Nordland,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Undrumsdal, Våle, Norway",59.4202823,10.2765941,"3178 Våle (Våle), Norway",,,Våle,,,3178,Våle,Vestfold,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Utenfor Tjøme, Norway",59.123974,10.419396,"Faerder (Tjome), Vestfold og Telemark, Norway",Faerder,,,,Vestfold og Telemark,,Tjome,,Norway,,no,0.5,1,,,https://www.whosonfirst.org/docs/licenses/
"Utøy, Norway",57.9843528,7.59285,"Udøy, Lindesnes, Norway",,,Udøy,Udøy,,4516,Lindesnes,Agder,Norway,,no,0.675,0.675,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Utvik, Norway",61.806331,6.5191967,"6797 Utvik (Utvik), Norway",,,Utvik,,,6797,Utvik,Vestland,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"v/Mandal, Norway",58.0268181,7.4534802,"4514 Mandal, Norway",,,Mandal,,,4514,Mandal,Agder,Norway,,no,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vadmyra, Norway",60.361484399999995,5.23060185096873,"Vadmyra, Bergen, Norway",Laksevåg,,Vadmyra,Vadmyra,,5172,Bergen,Vestland,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vadmyrvn, Loddefjord, Norway",60.37083,5.23444,"Loddefjord, Bergen, Vestland, Norway",,,Loddefjord,Loddefjord,Vestland,,Bergen,,Norway,,no,0.5,1,,,https://www.whosonfirst.org/docs/licenses/
"Vadsø, Norway",70.22671985,29.782800932798843,"Vadsø, Norway",,,,,,,Vadsø,Finnmark,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vågen, 7633 Frosta, Norway",63.5854498,10.806727,"7633 Vågen (Vågen), Norway",,,Vågen,,,7633,Vågen,Trøndelag,Norway,,no,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vågsbygd, Norway",58.1214505,7.9417977,"Vågsbygd, Kristiansand, Norway",,,Vågsbygd,Vågsbygd,,4622,Kristiansand,Agder,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vaksdal, Norway",60.6734959,5.767017366031196,"Vaksdal, Norway",,,,,,,Vaksdal,Vestland,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Valdres, Norway",60.5147476,11.1744511,"Valdres, Eidsvoll, Norway",,,Valdres,Valdres,,2093,Eidsvoll,Akershus,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Våle, Norway",59.4202823,10.2765941,"3178 Våle (Våle), Norway",,,Våle,,,3178,Våle,Vestfold,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Valle i Bamle, Norway",58.941737,9.540118,"Valle, Bamble, Vestfold og Telemark, Norway",,,Valle,,Vestfold og Telemark,,Bamble,,Norway,,no,0.7105263157894737,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Valle i Setesdal, Norway",59.21259,7.53559,"Valle (Valle), Agder, Norway",Valle,,,,Agder,,Valle,,Norway,,no,0.33333333333333337,0.33333333333333337,,CC BY 4.0,https://www.geonames.org/datasources/
"Vallø, Norway",60.7611889,8.0893416,"Vallo, Norway",,,Vallo,,,,Vallo,Buskerud,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Valmen, 2460 Osen, Norway",61.29992,11.76395,"2460 Amot (Osen), Norway",Amot,,,,Innlandet,2460,Osen,,Norway,,no,0.5,1,,,https://www.whosonfirst.org/docs/licenses/
"Valnes i Salten, Norway",,,,,,,,,,,,,,,,,,,
"Vang kirke, Norway",60.8024224,11.132612491420016,"Vang kirke, Vangsvegen, 2322 Ridabu, Norway",,Vangsvegen,Vang kirke,Vang prestegård,,2322,Ridabu,Innlandet,Norway,,no,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vang, Norway",61.192208550000004,8.469518925838273,"Vang, Norway",,,,,,,Vang,Innlandet,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vanvikan, Norway",63.5535227,10.2211768,"7125 Vanvikan (Vanvikan), Norway",,,Vanvikan,,,7125,Vanvikan,Trøndelag,Norway,,no,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
